Year,Month,Return,Amount,CPI
1928,1,-0.83%,"9,917.13",17.3
1928,2,5.75%,"10,487.00",17.1
1928,3,6.66%,"11,185.66",17.1
1928,4,3.44%,"11,569.89",17.1
1928,5,-4.57%,"11,041.69",17.2
1928,6,1.09%,"11,162.15",17.1
1928,7,3.59%,"11,562.99",17.1
1928,8,7.37%,"12,415.67",17.1
1928,9,2.36%,"12,708.42",17.3
1928,10,7.08%,"13,608.43",17.2
1928,11,0.70%,"13,703.02",17.2
1928,12,7.69%,"14,757.13",17.1
1929,1,0.81%,"14,876.85",17.1
1929,2,2.05%,"15,181.94",17.1
1929,3,-0.30%,"15,136.17",17
1929,4,1.80%,"15,408.10",16.9
1929,5,2.20%,"15,747.37",17
1929,6,9.20%,"17,196.14",17.1
1929,7,5.96%,"18,220.59",17.3
1929,8,4.24%,"18,993.90",17.3
1929,9,-10.32%,"17,032.82",17.3
1929,10,-26.19%,"12,571.77",17.3
1929,11,4.37%,"13,121.56",17.3
1929,12,1.83%,"13,361.20",17.2
1930,1,6.64%,"14,247.98",17.1
1930,2,4.12%,"14,835.30",17
1930,3,6.69%,"15,827.45",16.9
1930,4,-5.65%,"14,932.95",17
1930,5,-9.77%,"13,474.08",16.9
1930,6,-1.76%,"13,236.93",16.8
1930,7,-0.90%,"13,118.34",16.6
1930,8,0.34%,"13,163.39",16.5
1930,9,-13.37%,"11,403.28",16.6
1930,10,-6.80%,"10,627.91",16.5
1930,11,-6.19%,"9,970.28",16.4
1930,12,3.56%,"10,324.91",16.1
1931,1,8.14%,"11,165.22",15.9
1931,2,2.38%,"11,431.01",15.7
1931,3,-9.08%,"10,393.11",15.6
1931,4,-9.16%,"9,441.10",15.5
1931,5,-2.68%,"9,188.18",15.3
1931,6,3.86%,"9,542.59",15.1
1931,7,-2.49%,"9,305.45",15.1
1931,8,-14.37%,"7,968.40",15.1
1931,9,-12.75%,"6,952.42",15
1931,10,2.05%,"7,095.24",14.9
1931,11,-18.10%,"5,811.02",14.7
1931,12,-0.85%,"5,761.68",14.6
1932,1,-0.05%,"5,758.98",14.3
1932,2,1.14%,"5,824.68",14.1
1932,3,-23.22%,"4,471.93",14
1932,4,-11.31%,"3,965.95",13.9
1932,5,-12.39%,"3,474.51",13.7
1932,6,6.18%,"3,689.39",13.6
1932,7,51.35%,"5,583.99",13.6
1932,8,10.37%,"6,162.83",13.5
1932,9,-13.22%,"5,348.33",13.4
1932,10,-0.34%,"5,330.38",13.3
1932,11,-2.64%,"5,189.67",13.2
1932,12,4.57%,"5,426.83",13.1
1933,1,-11.27%,"4,815.45",12.9
1933,2,0.33%,"4,831.50",12.7
1933,3,11.24%,"5,374.69",12.6
1933,4,29.32%,"6,950.44",12.6
1933,5,17.58%,"8,172.51",12.6
1933,6,8.46%,"8,864.04",12.7
1933,7,-4.64%,"8,452.61",13.1
1933,8,-0.48%,"8,411.68",13.2
1933,9,-9.38%,"7,622.92",13.2
1933,10,2.80%,"7,836.44",13.2
1933,11,2.32%,"8,018.39",13.2
1933,12,6.08%,"8,506.31",13.2
1934,1,7.75%,"9,165.45",13.2
1934,2,-4.80%,"8,725.65",13.3
1934,3,2.02%,"8,901.85",13.3
1934,4,-9.83%,"8,027.10",13.3
